Categoria,SerialNumber,Archivo,Estatus_Tester,Consumo_mA,Offset_High_V,V_20A_High_V,Tiempo_ms_High,Offset_Low_V,V_20A_Low_V,Tiempo_ms_Low,Delta_V_High,Delta_V_Low,S_High_mVA,S_Low_mVA,Ratio_HL,Ratio_Dev_Pct,Proy_220A_High_mV,Proy_220A_Low_mV,Status,Razon_Falla,Ford_220A
CORRECTION_FACTOR,26169000644,7370-2573-8W 26169000644 0101 OK.txt,OK,21.097,2.505,2.619,20.0,2.505,2.904,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000645,7370-2573-8W 26169000645 0101 OK.txt,OK,21.371,2.506,2.62,20.0,2.506,2.905,59.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3760.0000000000036,6895.0,PASS,,PASS
CORRECTION_FACTOR,26169000646,7370-2573-8W 26169000646 0101 OK.txt,OK,21.177,2.505,2.619,19.0,2.506,2.905,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6895.0,PASS,,PASS
CORRECTION_FACTOR,26169000647,7370-2573-8W 26169000647 0101 OK.txt,OK,20.533,2.505,2.619,20.0,2.504,2.904,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6903.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000648,7370-2573-8W 26169000648 0101 OK.txt,OK,20.54,2.504,2.618,20.0,2.504,2.903,55.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6893.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000649,7370-2573-8W 26169000649 0101 OK.txt,OK,20.804,2.504,2.618,20.0,2.505,2.904,57.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000650,7370-2573-8W 26169000650 0101 OK.txt,OK,20.693,2.505,2.618,51.0,2.504,2.903,19.0,0.11299999999999999,0.399,5.6499999999999995,19.95,0.2832080200501253,-1.8343084748265792,3748.0,6893.0,FAIL,S_High=5.650 < 5.7,PASS
CORRECTION_FACTOR,26169000651,7370-2573-8W 26169000651 0101 OK.txt,OK,20.866,2.504,2.618,19.0,2.505,2.904,19.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000652,7370-2573-8W 26169000652 0101 OK.txt,OK,21.117,2.504,2.617,19.0,2.504,2.905,63.0,0.11299999999999999,0.4009999999999998,5.6499999999999995,20.04999999999999,0.28179551122194524,-2.323912921336132,3747.0,6914.999999999998,FAIL,S_High=5.650 < 5.7,PASS
CORRECTION_FACTOR,26169000653,7370-2573-8W 26169000653 0101 OK.txt,OK,20.748,2.504,2.618,20.0,2.504,2.905,19.0,0.11399999999999988,0.4009999999999998,5.699999999999994,20.04999999999999,0.2842892768079799,-1.4595227701976063,3757.9999999999986,6914.999999999998,FAIL,S_High=5.700 < 5.7,PASS
